school.name,2015.student.size,location.lat,location.lon,school.state
Asheville-Buncombe Technical Community College,5113,35.571055,-82.555838,NC
Forsyth Technical Community College,7677,36.06854,-80.272215,NC
Elon University,5903,36.104149,-79.505632,NC
Bowling Green State University-Main Campus,13900,41.377036,-83.637531,OH
Tri-County Technical College,5322,34.641914,-82.792015,SC
Nashville State Community College,8381,36.135453,-86.856723,TN
Southwest Tennessee Community College,8402,35.137577,-90.036543,TN
West Chester University of Pennsylvania,13966,39.949084,-75.594631,PA
Slippery Rock University of Pennsylvania,7461,41.060814,-80.051814,PA
Shippensburg University of Pennsylvania,5953,40.057405,-77.5229,PA
Brown University,6320,41.827605,-71.404467,RI
Texas Tech University,28868,33.580309,-101.876917,TX
Tarrant County College District,41871,32.747501,-97.327948,TX
The University of Texas at Austin,39057,30.286598,-97.73924,TX
Lone Star College System,59193,30.188408,-95.490077,TX
Sam Houston State University,17401,30.7247,-95.5519,TX
Texas A & M University-Kingsville,5630,27.524852,-97.882342,TX
Prairie View A & M University,6925,30.094591,-95.992066,TX
Texas Woman's University,9395,33.227002,-97.129088,TX
The University of Texas at San Antonio,23921,29.582418,-98.621386,TX
University of Houston,33300,29.719988,-95.344851,TX
Utah State University,22265,41.740748,-111.81391,UT
Weber State University,16846,41.192021,-111.948388,UT
Tyler Junior College,10887,32.336015,-95.284129,TX
Brigham Young University-Provo,30221,40.250851,-111.649281,UT
West Texas A & M University,7266,34.981996,-101.9158,TX
University of Wisconsin-Milwaukee,20921,43.076848,-87.880488,WI
West Virginia University,21580,39.63468,-79.953926,WV
Tacoma Community College,6116,47.246369,-122.521057,WA
University of Wisconsin-Oshkosh,9955,44.024985,-88.549282,WI
Fox Valley Technical College,6477,44.283174,-88.45893,WI
Northeast Wisconsin Technical College,6516,44.526342,-88.105976,WI
Marquette University,8143,43.03903,-87.927961,WI
Inter American University of Puerto Rico-Ponce,5011,18.007388,-66.578498,PR
University of Wisconsin-Stevens Point,8733,44.529582,-89.570934,WI
University of Wisconsin-River Falls,5286,44.852647,-92.625316,WI
Collin County Community College District,24181,33.16241,-96.63894,TX
Kilgore College,5630,32.378214,-94.870073,TX
Thomas Nelson Community College,7970,37.063654,-76.418615,VA
J Sargeant Reynolds Community College,9071,37.637415,-77.472958,VA
University of Virginia-Main Campus,15788,38.037796,-78.505153,VA
Southern Methodist University,6348,32.845254,-96.784855,TX
Virginia Commonwealth University,22389,37.547631,-77.453597,VA
Columbia Basin College,5158,46.251547,-119.118609,WA
Las Positas College,8126,37.709623,-121.804948,CA
Everest University-South Orlando,8886,28.434702,-81.426942,FL
Johnson & Wales University-Providence,8467,41.820558,-71.413322,RI
University of South Carolina-Columbia,24941,33.998973,-81.026971,SC
College of Charleston,10033,32.783142,-79.937251,SC
Clemson University,17740,34.677329,-82.834463,SC
Volunteer State Community College,6566,36.363603,-86.497317,TN
Baylor University,14139,31.545956,-97.119359,TX
Tennessee State University,7255,36.16899,-86.82937,TN
Austin Community College District,32524,30.333508,-97.68172,TX
Houston Community College,56359,29.737303,-95.376524,TX
Del Mar College,10852,27.763623,-97.407627,TX
Central Texas College,13443,31.119054,-97.809704,TX
North Central Texas College,9427,33.618269,-97.165273,TX
California State University-San Marcos,12103,33.129115,-117.158013,CA
Kaplan University-Davenport Campus,35040,41.555024,-90.550682,IA
California State University-Monterey Bay,6408,36.653724,-121.799216,CA
Georgia Gwinnett College,10997,33.979915,-84.001135,GA
University of Phoenix-California,14962,33.685551,-117.885468,CA
Arizona State University-Skysong,16219,33.46268,-111.924051,AZ
Chamberlain College of Nursing-Illinois,15122,41.949727,-88.038558,IL
Baton Rouge Community College,7217,30.448276,-91.137935,LA
Suffolk County Community College,21801,40.848963,-73.056165,NY
The Community College of Baltimore County,20560,39.352647,-76.48211,MD
Santiago Canyon College,10381,33.796591,-117.768053,CA
Embry-Riddle Aeronautical University-Worldwide,9666,29.18927,-81.04951,FL
The University of Alabama,31005,33.2144,-87.545766,AL
Auburn University,21551,32.604685,-85.482782,AL
University of Alaska Fairbanks,5432,64.856483,-147.822943,AK
Glendale Community College,15616,33.567483,-112.188334,AZ
Northern Arizona University,24992,35.180095,-111.657653,AZ
California State University-Fresno,21076,36.814477,-119.748258,CA
California State Polytechnic University-Pomona,22034,34.054273,-117.819019,CA
University of Central Arkansas,9340,35.078196,-92.45931,AR
Butte College,10646,39.649116,-121.644691,CA
Academy of Art University,8969,37.787748,-122.400686,CA
California Baptist University,6604,33.928569,-117.42587,CA
California State University-Northridge,36979,34.23671,-118.526817,CA
